,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST002079_1,ST002079,AN003392,Reversed phase NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2 UHPLC systems,"Waters Acquity BEH HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,Normalized intensity
ST001985,ST001985,AN003236,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XSelect HSS (100 x 2.1mm,2.5um)",Reversed phase,Thermo Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,"Peak Abundance (normalized, blank subtracted, and corrected for baseline noise)"
ST003540,ST003540,AN005812,HILIC POSITIVE ION MODE,MS,AB Sciex QTRAP 6500+,"Agilent Zorbax Eclipse Plus C18 (100 x 2.1mm, 1.8 um)",HILIC,ABI Sciex 6500+ QTrap,QTRAP,EI,POSITIVE,,,,,Peak area
ST000106_0,ST000106,AN000175,ESI positive ion mode,MS,Agilent 1200,Waters Acquity HSS T3,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Counts
ST000106_1,ST000106,AN000176,ESI negative ion mode,MS,Agilent 1200,Waters Acquity HSS T3,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,Counts
ST003249,ST003249,AN005322,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XBridge BEH Amide (100 x 3mm, 3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak area
ST002471_0,ST002471,AN004033,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Atlantis HILIC (150 x 2 mm, 3 µm)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Abundance
ST002471_1,ST002471,AN004034,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Abundance
ST002471_2,ST002471,AN004035,HILIC NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Luna NH2 (150 x 2.1mm, 3um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Abundance
ST002471_3,ST002471,AN004036,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters ACQUITY UPLC BEH C18 (150 x 1.7mm,2.1um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Abundance
ST003055,ST003055,AN005009,Reversed phase UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"Thermo Accucore C30 (150 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,relative area
ST000666_0,ST000666,AN001018,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000666_1,ST000666,AN001019,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST000421_0,ST000421,AN000663,HILIC POSITIVE ION MODE,MS,Agilent 6220,None,HILIC,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,intensity
ST000421_1,ST000421,AN000664,HILIC NEGATIVE ION MODE,MS,Agilent 6220,None,HILIC,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,intensity
ST000421_2,ST000421,AN000665,Reversed phase POSITIVE ION MODE,MS,Agilent 6220,None,Reversed phase,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,intensity
ST000421_3,ST000421,AN000666,Reversed phase NEGATIVE ION MODE,MS,Agilent 6220,None,Reversed phase,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,intensity
ST002822_0,ST002822,AN004599,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,log transformed data
ST002822_1,ST002822,AN004600,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,log transformed data
ST002822_2,ST002822,AN004601,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters ACQUITY UPLC BEH Amide (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,log transformed data
ST002822_3,ST002822,AN004602,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,log transformed data
ST002809_0,ST002809,AN004566,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized/scaled raw area counts
ST002809_1,ST002809,AN004567,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalized/scaled raw area counts
ST002809_2,ST002809,AN004568,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized/scaled raw area counts
ST002809_3,ST002809,AN004569,HILIC NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm, 1.7um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Normalized/scaled raw area counts
ST003333_0,ST003333,AN005460,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters ACQUITY UPLC HSS C18 (100 x 2.1mm,1.8um)",Reversed phase,Thermo Orbitrap Exploris 480,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST003333_1,ST003333,AN005461,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters ACQUITY UPLC HSS C18 (100 x 2.1mm,1.8um)",Reversed phase,Thermo Orbitrap Exploris 480,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002026,ST002026,AN003296,GC UNSPECIFIED ION MODE,MS,Leco Pegasus IV,"Restek Rtx-5Sil MS (30 x 0.25mm,0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,UNSPECIFIED,,,,,normalized peak height
ST000665_0,ST000665,AN001016,C18 NEGATIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak area normalized
ST000665_1,ST000665,AN001017,C18 POSITIVE ION MODE,MS,Shimadzu CTO-20A Nexera X2,"Waters Acquity HSS T3 (50 x 2.1mm,1.8um)",Reversed phase,ABI Sciex 5600+ TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak area normalized
ST001766,ST001766,AN002873,LUNA-NH2 UNSPECIFIED ION MODE,MS,Thermo Vanquish,"Phenomenex Luna NH2 (150 x 2mm,3um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST000356_0,ST000356,AN000582,GC POSITIVE ION MODE,MS,Agilent 6890N,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus HT TOF,GC x GC-TOF,EI,POSITIVE,,,,,Peak Intensity
ST000356_1,ST000356,AN000583,Reversed phase,MS,Agilent 1200,-,Reversed phase,Agilent 6220 TOF,TOF,ESI,UNSPECIFIED,,,,,Peak Intensity
ST001329,ST001329,AN002215,HILIC UNSPECIFIED ION MODE,MS,Shimadzu Nexera XR LC-20AD,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,UNSPECIFIED,,,,,Peak Area
ST001412,ST001412,AN002362,Reversed phase POSITIVE ION MODE,MS,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area
ST001977,ST001977,AN003225,HILIC UNSPECIFIED ION MODE,MS,Thermo Q Exactive Orbitrap,"EMD Millipore ZIC-HILIC (100 x 2.1mm,3.5um)",HILIC,Thermo Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST000552_0,ST000552,AN000843,Reversed phase POSITIVE ION MODE,MS,Thermo Scientific Q-Exactive,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST000552_1,ST000552,AN000844,Reversed phase NEGATIVE ION MODE,MS,Thermo Scientific Q-Exactive,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak height
ST000321_0,ST000321,AN000510,Reversed phase POSITIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak height
ST000321_1,ST000321,AN000511,Reversed phase NEGATIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak height
ST001037,ST001037,AN001698,GC POSITIVE ION MODE,MS,QEOrbitrap-GC-MS,TraceGOLD TG-5SILMS,GC,Thermo Q Exactive Orbitrap,Orbitrap,EI,POSITIVE,,,,,Abundance
ST003483_0,ST003483,AN005719,HILIC NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap Exploris 480,Orbitrap,ESI,NEGATIVE,,,,,Relative intensities
ST003483_1,ST003483,AN005720,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH Amide (150 x 2.1mm,1.7um)",HILIC,Thermo Orbitrap Exploris 480,Orbitrap,ESI,POSITIVE,,,,,Relative intensities
ST003038_0,ST003038,AN004984,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peakarea
ST003038_1,ST003038,AN004985,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peakarea
ST003293_0,ST003293,AN005392,Reversed phase POSITIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak height
ST003293_1,ST003293,AN005393,Reversed phase NEGATIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak height
ST000324_0,ST000324,AN000516,Reversed phase POSITIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak height
ST000324_1,ST000324,AN000517,Reversed phase NEGATIVE ION MODE,MS,Unspecified,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak height
ST002206,ST002206,AN003609,Liquid chromatography time-of-flight mass spectometry POSITIVE ION MODE,MS,Agilent 1200 RR Series II,ODS,Unspecified,Agilent CE-TOFMS,TOF,ESI,POSITIVE,,,,,relative area
ST002008_0,ST002008,AN003271,HILIC POSITIVE ION MODE,MS,Waters Acquity I-Class,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Waters Xevo-TQ-S,Triple quadrupole,ESI,POSITIVE,,,,,nmol/L
ST002008_1,ST002008,AN003272,HILIC POSITIVE ION MODE,MS,Waters Acquity I-Class,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002008_2,ST002008,AN003273,HILIC NEGATIVE ION MODE,MS,Waters Acquity I-Class,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002008_3,ST002008,AN003274,Reversed phase POSITIVE ION MODE,MS,Waters Acquity I-Class,"Waters Acquity UPLC HSS Cyano (100 x 2.1mm,1.8um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002078_0,ST002078,AN003387,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"Waters XSelect HSS T3 C18 (100 x 2.1mm,2.5um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST002078_1,ST002078,AN003388,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"Water XSelect HSS T3 C18 (100 x 2.1mm,2.5um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST002078_2,ST002078,AN003389,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"Water XSelect HSS T3 C18 (100 x 2.1mm,2.5um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST002078_3,ST002078,AN003390,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"Water XSelect HSS T3 C18 (100 x 2.1mm,2.5um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area
ST001763,ST001763,AN002870,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST001250_0,ST001250,AN002075,Other POSITIVE ION MODE,MS,Agilent CE,"Fused-silica,50um(cation)",CE,Agilent CE-TOFMS,TOF,ESI,POSITIVE,,,,,nmol/g
ST001250_1,ST001250,AN002076,Other NEGATIVE ION MODE,MS,Agilent CE,"COSMO(+),50um(anion)",CE,Agilent CE-TOFMS,TOF,ESI,NEGATIVE,,,,,nmol/g
ST002950_0,ST002950,AN004838,HILIC POSITIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC BEH Amide (50 x 2.1mm,1.7um)",HILIC,ABI Sciex 6600 TripleTOF,Triple TOF,ESI,POSITIVE,,,,,peak heights
ST002950_1,ST002950,AN004839,HILIC NEGATIVE ION MODE,MS,Agilent 1290,"Waters ACQUITY UPLC BEH Amide (50 x 2.1mm,1.7um)",HILIC,ABI Sciex 6600 TripleTOF,Triple TOF,ESI,NEGATIVE,,,,,peak heights
ST001683_0,ST001683,AN002747,Reversed phase POSITIVE ION MODE,MS,Agilent qTOF 6545,"Waters Acquity BEH (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6545 QTOF,QTOF,ESI,POSITIVE,,,,,Raw ion count (peak area)
ST001683_1,ST001683,AN002748,Reversed phase NEGATIVE ION MODE,MS,Agilent qTOF 6545,"Waters Acquity BEH (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6545 QTOF,QTOF,ESI,NEGATIVE,,,,,Raw ion count (peak area)
ST001683_2,ST001683,AN002749,HILIC POSITIVE ION MODE,MS,Agilent qTOF 6545,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",HILIC,Agilent 6545 QTOF,QTOF,ESI,POSITIVE,,,,,Raw ion count (peak area)
ST001276,ST001276,AN002117,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000 RS,"SeQuant ZIC-pHILIC (150 x 4.6mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak height
ST002857_0,ST002857,AN004679,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap Exploris 120,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002857_1,ST002857,AN004680,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Orbitrap Exploris 120,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002857_2,ST002857,AN004681,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST002857_3,ST002857,AN004682,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (30 x 2.1mm, 1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002857_4,ST002857,AN004683,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST001523,ST001523,AN002541,GC UNSPECIFIED ION MODE,MS,Leco Pegasus IV GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,POSITIVE,,,,,normalized peak height
ST002023,ST002023,AN003293,Other UNSPECIFIED ION MODE,MS,Agilent 1290 Infinity,MxP Quant 500 System,Unspecified,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,UNSPECIFIED,,,,,µM
ST001061_0,ST001061,AN001731,Normal phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Relative peak area
ST001061_1,ST001061,AN001732,Normal phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Acquity BEH C18 (50 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Relative peak area
ST002037_0,ST002037,AN003313,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,peak area top 
ST002037_1,ST002037,AN003314,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak area top 
ST000422_0,ST000422,AN000667,HILIC POSITIVE ION MODE,MS,Agilent 6220,none,HILIC,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,intensity
ST000422_1,ST000422,AN000668,HILIC NEGATIVE ION MODE,MS,Agilent 6220,none,HILIC,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,intensity
ST000422_2,ST000422,AN000669,Reversed phase POSITIVE ION MODE,MS,Agilent 6220,none,Reversed phase,Agilent 6220 TOF,TOF,ESI,POSITIVE,,,,,intensity
ST000422_3,ST000422,AN000670,Reversed phase NEGATIVE ION MODE,MS,Agilent 6220,none,Reversed phase,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,intensity
ST000397,ST000397,AN000634,GC POSITIVE ION MODE,MS,Agilent 6890N,Restek Corporation Rtx-5Sil MS,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,counts
ST001519_0,ST001519,AN002525,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Atlantis HILIC (150 x 2mm,3um)",HILIC,Thermo Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,unitless peak areas
ST001519_1,ST001519,AN002526,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,unitless peak areas
ST001519_2,ST001519,AN002527,HILIC NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Phenomenex Luna NH2 (150 x 2.1mm,3um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,unitless peak areas
ST001519_3,ST001519,AN002528,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity T3 (150 x 2.1 mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,unitless peak areas
ST002541_0,ST002541,AN004186,HILIC POSITIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 6500+ QTrap,Triple quadrupole,ESI,POSITIVE,,,,,Peak intensity
ST002541_1,ST002541,AN004187,HILIC NEGATIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 6500+ QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Peak intensity
ST001753,ST001753,AN002856,HILIC POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Waters Acquity BEH Amide (100 x 2.1mm,1.7um)",HILIC,Agilent 6545 QTOF,QTOF,ESI,POSITIVE,,,,,Total Intensity Units
ST003252_0,ST003252,AN005327,Reversed phase POSITIVE ION MODE,MS,Agilent 1260,"Waters Atlantis T3 (150 x 4.6mm,5um)",Reversed phase,ABI Sciex 6500 QTrap ,Triple quadrupole,API,POSITIVE,,,,,abundance
ST003252_1,ST003252,AN005328,HILIC NEGATIVE ION MODE,MS,Agilent 1260,"Waters XBridge BEH Amide (100 x 2.1mm,2.5um)",HILIC,ABI Sciex 6500 QTrap ,Triple quadrupole,API,NEGATIVE,,,,,abundance
ST003252_2,ST003252,AN005329,HILIC NEGATIVE ION MODE,MS,Agilent 1260,"Waters XBridge BEH Amide (100 x 2.1mm,2.5um)",HILIC,ABI Sciex 6500 QTrap ,Triple quadrupole,API,NEGATIVE,,,,,abundance
ST002452_0,ST002452,AN004007,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,POSITIVE,,,,,pmoles/mg protein
ST002452_1,ST002452,AN004008,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,pmoles/mg protein
ST002371,ST002371,AN003866,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters XBridge Amide (100 x 4.6mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST002585,ST002585,AN004257,GC POSITIVE ION MODE,MS,Leco Pegasus IV GC,"Restek Rtx-5Sil MS (30m x 0.25mm, 0.25um)",GC,Leco Pegasus HT TOF,GC-TOF,EI,POSITIVE,,,,,normalized peak heights
ST000142,ST000142,AN000225,MS positive ion mode,MS,,,,Bruker SolariX FT-ICR-MS,FT-ICR-MS,ESI,POSITIVE,,,,,Peak area
ST002216,ST002216,AN003625,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Normalized Peak Area
ST000048,ST000048,AN000084,GCMS positive ion mode,MS,Agilent 6890N,Restek corporation Rtx-5Sil MS,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,Peak Area
ST001272,ST001272,AN002112,Reversed phase UNSPECIFIED ION MODE,MS,Accela 600,"Thermo Acclaim C30 (150 x 2.1mm,3m)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,main area
ST003129_0,ST003129,AN005131,Reversed phase POSITIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Bruker timsTOF fleX,QTOF,ESI,POSITIVE,,,,,Peak intensity
ST003129_1,ST003129,AN005132,Reversed phase NEGATIVE ION MODE,MS,Thermo Vanquish,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Bruker timsTOF fleX,QTOF,ESI,NEGATIVE,,,,,Peak intensity
ST001336_0,ST001336,AN002226,HILIC UNSPECIFIED ION MODE,MS,Agilent 1290 Infinity II,"Agilent HILIC Plus RRHD (100 x 2.1mm,1.8um)",HILIC,Agilent 6490 QQQ,Triple quadrupole,ESI,UNSPECIFIED,,,,,Count
ST001336_1,ST001336,AN002227,HILIC POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent HILIC Plus RRHD (100 x 2.1mm,1.8um)",HILIC,Agilent 6490 QQQ,Triple quadrupole,ESI,POSITIVE,,,,,Count
ST001336_2,ST001336,AN002228,HILIC UNSPECIFIED ION MODE,MS,Agilent 1290 Infinity II,"Agilent HILIC Plus RRHD (100 x 2.1mm,1.8um)",HILIC,Agilent 6490 QQQ,Triple quadrupole,ESI,UNSPECIFIED,,,,,Count
ST001336_3,ST001336,AN002229,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent ZORBAX RRHD Eclipse Plus C18 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Count
ST001336_4,ST001336,AN002230,Reversed phase POSITIVE ION MODE,MS,Agilent 1290 Infinity II,"Agilent ZORBAX RRHD Eclipse Plus C18 (50 x 2.1mm,1.8um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,POSITIVE,,,,,Count
