,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST002958,ST002958,AN004858,None (Direct infusion) POSITIVE ION MODE,MS,Sciex 4000 QTrap,none,None (Direct infusion),ABI Sciex API 4000 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,nmol per mg tissue wt
ST000541_0,ST000541,AN000822,Reversed phase POSITIVE ION MODE,MS,Thermo Scientific Q Exactive,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Area
ST000541_1,ST000541,AN000823,Reversed phase NEGATIVE ION MODE,MS,Thermo Scientific Q Exactive,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Area
ST000418,ST000418,AN000660,GC POSITIVE ION MODE,MS,Leco Pegasus 4D GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus 4D GCxGC TOF,GC x GC-TOF,EI,POSITIVE,,,,,Intensity
ST003161,ST003161,AN005186,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,TSS normalized values
ST000953_0,ST000953,AN001562,Reversed phase POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Height
ST000953_1,ST000953,AN001563,Reversed phase NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,peak height
ST000144_0,ST000144,AN000228,LCMS,MS,Agilent 1260,"Phenomenex Luna NH2 (150 x 1mm,3um)",HILIC,Agilent 6520 QTOF,QTOF,ESI,NEGATIVE,,,,,Area
ST000144_1,ST000144,AN000229,GCMS,MS,Agilent 7890A,"Agilent DB5-MS (30m × 0.25mm, 0.25um)",GC,Agilent 5975C,Single quadrupole,EI,POSITIVE,,,,,Area
ST002242,ST002242,AN003660,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,SeQuant ZIC-pHILIC,HILIC,Thermo Orbitrap Exploris 240,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST000017_0,ST000017,AN000034,LC/Electro-spray /QTOF positive ion mode,MS,Agilent 1200,Waters Acquity HSS T3 reversed-phase,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,peak area
ST000017_1,ST000017,AN000035,LC/Electro-spray /QTOF negative ion mode,MS,Agilent 1200,Waters Acquity HSS T3 reversed-phase,Reversed phase,Agilent 6530 QTOF,QTOF,ESI,NEGATIVE,,,,,peak area
ST002360,ST002360,AN003854,None (Direct infusion) POSITIVE ION MODE,MS,none,none,None (Direct infusion),ABI Sciex 6500 QTrap ,Triple quadrupole,ESI,POSITIVE,,,,,counts per second (cps)
ST001045,ST001045,AN001709,Targeted GC POSITIVE ION MODE,MS,"GC-EI-MS, Thermo ITQ","SGE 0.15 mm i.d. x 50 m fused silica open-tubular column, coated with 0.25 μm BPX-5 (5% phenylmethyl- phenylsiloxane)",GC,Thermo ITQ,GC-ITQ,EI,POSITIVE,,,,,normalized peak area
ST001770,ST001770,AN002877,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST002306,ST002306,AN003768,Reversed phase POSITIVE ION MODE,MS,Waters Acquity H-Class,"Waters CORTECS UPLC T3 (150 x 2.1mm,1.6um)",Reversed phase,Waters Synapt-G2-Si,QTOF,ESI,POSITIVE,,,,,peak area
ST001065_0,ST001065,AN001742,Reversed phase POSITIVE ION MODE,MS,Orbitrap XL,"Waters XBridge C18 (50 x 2.1mm,3um)",Reversed phase,Thermo LTQ XL,Single quadrupole,ESI,POSITIVE,,,,,peak area
ST001065_1,ST001065,AN001743,Reversed phase NEGATIVE ION MODE,MS,Orbitrap XL,"Waters XBridge C18 (50 x 2.1mm,3um)",Reversed phase,Thermo LTQ XL,Single quadrupole,ESI,NEGATIVE,,,,,peak area
ST001110,ST001110,AN001804,GC POSITIVE ION MODE,MS,Agilent 7890A,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus HT TOF,GC-TOF,EI,POSITIVE,,,,,Peak Height
ST002025,ST002025,AN003295,GC UNSPECIFIED ION MODE,MS,Leco Pegasus IV GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus IV TOF,GC-TOF,EI,UNSPECIFIED,,,,,normalized peak height
ST001118,ST001118,AN001817,GC POSITIVE ION MODE,MS,Agilent 6890N,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,Peak Height
ST001866_0,ST001866,AN003026,GC POSITIVE ION MODE,MS,Thermo-Finnigan Trace DSQ,per Metabolon,GC,Thermo LTQ-FT,Single quadrupole,ESI,POSITIVE,,,,,Peak
ST001866_1,ST001866,AN003027,LC/MS POSITIVE ION MODE,MS,Waters Acquity,per Metabolon,Unspecified,Thermo LTQ-FT,Single quadrupole,ESI,POSITIVE,,,,,Peak
ST001866_2,ST001866,AN003028,LC/MS NEGATIVE ION MODE,MS,Waters Acquity,per Metabolon,Unspecified,Thermo LTQ-FT,Single quadrupole,ESI,NEGATIVE,,,,,Peak
ST002395,ST002395,AN004119,HILIC POSITIVE ION MODE,MS,Thermo Vanquish,"SeQuant ZIC-HILIC (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Triple TOF,ESI,POSITIVE,,,,,peak area
ST000886_0,ST000886,AN001443,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak Height
ST000886_1,ST000886,AN001444,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"ACE Excel 2 C18-PFP (100 x 2.1mm, 2um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak Height
ST000404,ST000404,AN000644,GC POSITIVE ION MODE,MS,Agilent 6890N,Restek Corporation Rtx-5Sil MS,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,counts
ST002335,ST002335,AN003814,None (Direct infusion) POSITIVE ION MODE,MS,none,none,None (Direct infusion),Thermo Q Exactive Orbitrap,QTRAP,ESI,POSITIVE,,,,,pMol
ST002587,ST002587,AN004259,GC POSITIVE ION MODE,MS,Agilent 7890A,"Agilent DB5-MS (30m x 0.25mm, 0.25um)",GC,Agilent 5975C,Single quadrupole,EI,POSITIVE,,,,,intensity
ST000077_0,ST000077,AN000123,ESI/QTOF positive ion mode,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6530 QTOF,QTOF,ESI,POSITIVE,,,,,Peak area
ST000077_1,ST000077,AN000124,ESI/QTOF negative ion mode,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,Peak area
ST001970_0,ST001970,AN003211,Reversed phase POSITIVE ION MODE,MS,Phenomenex,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um,100A)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,SI
ST001970_1,ST001970,AN003212,Reversed phase NEGATIVE ION MODE,MS,Phenomenex,"Phenomenex Kinetex XB-C18 (150 x 2.1mm,1.7um,100A)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST001970_2,ST001970,AN003213,HILIC POSITIVE ION MODE,MS,Waters,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,SI
ST001970_3,ST001970,AN003214,HILIC NEGATIVE ION MODE,MS,Waters,"Waters Cortecs unbonded silica (150 x 2.1mm,1.6um,100 A )",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,SI
ST001769,ST001769,AN002876,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"EMD Millipore ZIC HILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ppm
ST000390,ST000390,AN000626,GC POSITIVE ION MODE,MS,Agilent 6890N,Restek Corporation Rtx-5Sil MS,GC,Leco Pegasus III GC TOF,GC-TOF,EI,POSITIVE,,,,,counts
ST000951,ST000951,AN001560,Targeted GC POSITIVE ION MODE,MS,"GC-EI-MS, Thermo ITQ","SGE 0.15 mm i.d. x 50 m fused silica open-tubular column, coated with 0.25 μm BPX-5 (5% phenylmethyl- phenylsiloxane)",GC,Thermo ITQ,GC-ITQ,EI,POSITIVE,,,,,normalized peak area
